,Ticker,Beta
3,BA,1.44
10,GS,1.42
9,DOW,1.33
0,AAPL,1.3
8,DIS,1.3
5,CRM,1.21
2,AXP,1.2
7,CVX,1.15
22,NKE,1.11
12,HON,1.11
16,JPM,1.1
4,CAT,1.1
6,CSCO,0.98
26,V,0.97
19,MMM,0.96
11,HD,0.93
21,MSFT,0.92
13,IBM,0.85
14,INTC,0.81
28,WBA,0.72
25,UNH,0.69
1,AMGN,0.65
24,TRV,0.63
18,MCD,0.62
17,KO,0.54
15,JNJ,0.53
29,WMT,0.49
23,PG,0.39
20,MRK,0.35
27,VZ,0.34
